beta,mean energy,mean mag,mean sq energy,mean sq mag
0.385,-67510.02513199682,0.018786159393309385,4.55791682188654e9,0.0005547424380025448
0.387,-68140.814096,0.019402693878172176,4.643488881705177e9,0.0005907410734938217
0.389,-68782.35258000536,0.020032753417968147,4.731335666451672e9,0.0006303429652824124
0.391,-69431.28922000344,0.020647178161621215,4.82103135747167e9,0.0006692320077175752
0.393,-70089.82059599948,0.02152342553710945,4.912915142176698e9,0.0007266009301541478
0.395,-70761.00387600179,0.022298348419187982,5.007458797663938e9,0.0007818472952439749
0.397,-71441.350024007,0.023219828155516393,5.104209998107571e9,0.0008463690844296538
0.399,-72135.1956680069,0.024164343841552298,5.203835949166486e9,0.0009175882757535271
0.401,-72844.17293600617,0.025260313995360627,5.306631126424973e9,0.0010033402228826662
0.403,-73562.64383200448,0.026443006042479976,5.411824239198632e9,0.0010941877460700369
0.405,-74295.31099600813,0.027665528930661917,5.520162313541834e9,0.001200330515224321
0.407,-75042.24833600507,0.02932072351074086,5.631717664843159e9,0.001345048770043908
0.409,-75808.56824799463,0.030604525939939273,5.747323659957646e9,0.0014719743035845616
0.411,-76585.22553999166,0.03277895504760689,5.865692708416719e9,0.001685124282768935
0.413,-77386.55566400051,0.03460908148193518,5.989083308189365e9,0.0018745645550378
0.415,-78205.65759199424,0.03693134185791248,6.116539507381159e9,0.002139090493576806
0.417,-79039.58299999143,0.03953619415283388,6.247683109271171e9,0.0024510009084251247
0.419,-79911.5201840032,0.04276828491211233,6.386290036591254e9,0.002878805241603422
0.421,-80798.55855199935,0.046467143707277496,6.528858813549109e9,0.003396069278751479
0.423,-81717.10785199136,0.051654357391360824,6.678154016664877e9,0.004171990942702663
0.425,-82670.07775600649,0.05653049395752282,6.834824368669359e9,0.004970733068277632
0.427,-83657.4500960036,0.06482137628174507,6.99907285539601e9,0.006543670959728204
0.429,-84690.36413599753,0.07447565591431085,7.172985129788584e9,0.008645421745282246
0.431,-85772.17808401369,0.08618543713378965,7.357417526412203e9,0.011526671650434235
0.433,-86918.82954399787,0.10642346749878001,7.555480481928684e9,0.017643880019747923
0.435,-88154.69697199992,0.1374446759033174,7.771899462162848e9,0.02905614719157476
0.437,-89505.38961599384,0.19616975814819312,8.011931888787077e9,0.05513798141238989
0.439,-91210.32822399841,0.35092059881594034,8.320277937874795e9,0.15063545951200888
0.441,-93209.55122799434,0.5482295117187267,8.688940616210564e9,0.31072208988915867
0.443,-94796.03697200304,0.6253081625671265,8.987078555598248e9,0.39578545989245495
0.445,-96252.53294799916,0.6828605086669756,9.265205517881638e9,0.4674856810506237
0.447,-97502.5177280156,0.7156916703491448,9.507335574610376e9,0.512860987454723
0.449,-98625.00213199989,0.7389548695983963,9.727429579993023e9,0.546472828444603
0.451,-99669.03578400821,0.758388224121092,9.934417348916597e9,0.575424421268446
0.453,-100641.84961599448,0.7742057785644327,1.0129251211206068e10,0.5995950267683464
0.455,-101553.18488397593,0.7877044147338214,1.0313492159572466e10,0.6206296688384965
0.457,-102415.0524639939,0.7995053174133065,1.0489263266370106e10,0.6393317428552915
0.459,-103230.49570400736,0.8097710184326126,1.0656933916611372e10,0.6558304088778718
0.461,-103955.67047998388,0.800359314331032,1.0807257587697544e10,0.6537975651503242
0.463,-104750.64654798919,0.827682590789862,1.0973059131534374e10,0.6851285410569443
0.465,-105454.68926001377,0.835268910095215,1.1121037131451984e10,0.6977347466402389
0.467,-106135.13798401094,0.8423891377258712,1.1264998436451242e10,0.7096720869222615
0.469,-106785.30533598886,0.8488785800476877,1.14034199200102e10,0.720640651942771
0.471,-107412.90734398458,0.8549603937073146,1.1537838877546562e10,0.7309975890374014
0.473,-108008.66908000052,0.8604844980468238,1.1666166484396511e10,0.7404699402652896
0.475,-108591.45186801779,0.8657970663756885,1.179238776423068e10,0.7496369375176002
0.477,-109150.59337601185,0.8706963442078531,1.1914125865574286e10,0.7581415087710448
0.479,-109690.04193998939,0.8753326373596151,1.2032170486230268e10,0.7662337688245469
0.481,-110207.37064798323,0.8796445810545382,1.2145920971841627e10,0.7737988030004015
0.483,-110712.08296799874,0.8837664859922562,1.2257412722786123e10,0.7810653186239608
0.485,-111199.24426002438,0.88766243853754,1.2365511354526802e10,0.7879649593493111
