beta,mean energy,mean mag,mean sq energy,mean sq mag,corr len
0.1,-159.83800000000056,0.052117187500000016,27239.080000000024,0.0042837829589843605,0.0
0.114,-185.40800000000107,0.05683203125000002,36091.16800000008,0.005034591674804662,0.0
0.128,-210.29000000000119,0.0607031249999999,46127.031999999934,0.0057532958984374835,0.0
0.142,-237.20000000000104,0.06714062499999993,58208.39999999958,0.0069085693359374764,0.0
0.156,-267.31799999999976,0.07950390625000021,73733.70399999942,0.009802307128906246,0.0
0.17,-303.33199999999914,0.08867578125000015,94766.43199999968,0.01232798767089844,0.0
0.184,-339.43199999999797,0.11035351562500015,118165.11999999959,0.01868573760986327,0.0
0.198,-387.9479999999993,0.1432421875000006,154160.68799999997,0.03134243774414064,0.0
0.212,-465.04200000000054,0.2397324218750003,224499.73599999957,0.08021205902099621,0.0
0.226,-642.4359999999988,0.4695078124999992,430066.11199999996,0.24776763916015607,0.0
0.24,-860.5340000000023,0.6747265624999993,753037.992,0.4623070678710949,2.121376549015278
0.254,-1020.627999999998,0.7755644531249999,1.051209840000001e6,0.6049995193481447,0.0
0.268,-1125.3439999999978,0.8323300781250023,1.2730613919999998e6,0.6945145797729521,0.0
0.282,-1210.9840000000002,0.8727675781250048,1.4715154400000044e6,0.7628449478149442,0.0
0.296,-1271.7839999999971,0.8997714843750042,1.6214077920000015e6,0.8103616561889643,0.0
0.31,-1325.340000000005,0.9220605468750043,1.7596182720000057e6,0.850736000061032,0.0
0.324,-1366.528000000003,0.9385703125000041,1.8697275360000064e6,0.8812815856933571,0.0
0.338,-1397.1960000000024,0.9505097656250069,1.954017392000002e6,0.9037494277954105,0.0
0.352,-1419.0260000000073,0.9587636718750061,2.015236567999997e6,0.9194568099975592,0.0
0.366,-1442.1520000000044,0.9673027343750034,2.0811023199999912e6,0.9358531417846733,0.0
0.38,-1457.9880000000082,0.973035156250002,2.126802271999988e6,0.9469391021728625,0.0
0.394,-1470.9440000000056,0.9776660156249999,2.1645494719999842e6,0.9559438858032347,0.0
0.408,-1482.4460000000038,0.9817558593749934,2.198364071999981e6,0.9639342269897597,0.0
0.422,-1490.6180000000022,0.9846249999999982,2.2225345839999793e6,0.9695593872070434,0.0
0.436,-1499.0219999999988,0.987537109374994,2.2475355759999775e6,0.9752860488891717,0.0
0.45,-1504.4179999999985,0.9893964843749917,2.2636898639999814e6,0.9789549026489314,0.0
0.464,-1509.7179999999917,0.991189453124991,2.2795691599999825e6,0.9824944686889678,0.0
0.478,-1513.8319999999903,0.9925957031249889,2.291945135999985e6,0.9852763290405256,0.0
0.492,-1517.9959999999883,0.9940078124999837,2.3045383519999934e6,0.9880775451660044,0.0
0.506,-1520.4779999999882,0.9948613281249818,2.3120434959999914e6,0.9897705001830902,0.0
0.52,-1523.1679999999892,0.9957578124999766,2.320204736000006e6,0.9915520629882587,0.0
0.534,-1524.9739999999895,0.996341796874974,2.3256888080000114e6,0.992713233947726,0.0
0.548,-1526.7939999999915,0.9969667968749718,2.331208936000011e6,0.9939549179076834,0.0
0.562,-1242.3199999999972,0.15964453124999964,1.5437626560000125e6,0.03920837402343755,64.45772065501393
0.576,-1529.6619999999966,0.9979179687499644,2.3399460240000226e6,0.9958490447997653,0.0
0.59,-1530.8320000000024,0.9982988281249615,2.343509872000032e6,0.9966075210570862,0.0
0.604,-1531.402000000003,0.9984882812499604,2.345248584000035e6,0.9969850616454631,0.0
0.618,-1532.1000000000079,0.9987246093749578,2.3473781280000396e6,0.9974559860229033,0.0
0.632,-1532.9000000000092,0.9989843749999556,2.3498202560000443e6,0.9979738922118654,0.0
0.646,-1533.394000000012,0.9991425781249542,2.3513305360000473e6,0.9982895431518066,0.0
0.66,-1265.1679999999953,0.24996484374999595,1.6007886560000095e6,0.06253039550781166,-1172.473361276594
0.674,-1267.2079999999971,0.0041445312499998905,1.605935248000005e6,3.814697265624989e-5,1.578702787764916e18
0.688,-1534.3740000000182,0.9994687499999512,2.3543234160000538e6,0.9989399108886206,0.0
0.702,-1534.6080000000197,0.99954687499995,2.3550387840000535e6,0.999095764160104,0.0
0.716,-1271.1999999999975,0.00315039062499993,1.6160302239999983e6,2.307891845703078e-5,1.578702787764916e18
0.73,-1534.9980000000223,0.9996738281249479,2.356230456000056e6,0.9993489913939899,0.0
0.744,-1535.1860000000236,0.9997343749999476,2.3568058160000574e6,0.9994698638915482,0.0
0.758,-1274.0519999999979,0.249812499999993,1.6232612159999907e6,0.062421874999998704,7.89351393882458e17
0.772,-1274.6080000000013,0.0021074218749999917,1.6246724159999841e6,1.2931823730468527e-5,6.314811151059664e18
0.786,-1275.4360000000015,0.2501054687499919,1.6267769919999824e6,0.06256463623046717,6.314811151059664e18
0.8,-1275.704000000003,0.24991015624999127,1.6274591839999794e6,0.062464797973630956,7.89351393882458e17
